
Iniciando Entrenamiento del Modelo Tradicional...
Epoch 1/150 | Train Loss: 1.5962 | Val Loss: 11.3714 | Val Acc: 44.69%
Nuevo récord: 44.69% (Guardado)
Epoch 2/150 | Train Loss: 1.2711 | Val Loss: 9.1582 | Val Acc: 58.41%
Nuevo récord: 58.41% (Guardado)
Epoch 3/150 | Train Loss: 1.1106 | Val Loss: 9.7065 | Val Acc: 60.62%
Nuevo récord: 60.62% (Guardado)
Epoch 4/150 | Train Loss: 1.0549 | Val Loss: 8.4879 | Val Acc: 65.04%
Nuevo récord: 65.04% (Guardado)
Epoch 5/150 | Train Loss: 0.9598 | Val Loss: 8.8984 | Val Acc: 61.95%
Epoch 6/150 | Train Loss: 0.9031 | Val Loss: 8.1057 | Val Acc: 61.50%
Epoch 7/150 | Train Loss: 0.8276 | Val Loss: 6.8600 | Val Acc: 69.47%
Nuevo récord: 69.47% (Guardado)
Epoch 8/150 | Train Loss: 0.8804 | Val Loss: 6.0278 | Val Acc: 74.78%
Nuevo récord: 74.78% (Guardado)
Epoch 9/150 | Train Loss: 0.8457 | Val Loss: 5.7444 | Val Acc: 73.01%
Epoch 10/150 | Train Loss: 0.8009 | Val Loss: 6.7641 | Val Acc: 73.01%
Epoch 11/150 | Train Loss: 0.7411 | Val Loss: 6.2511 | Val Acc: 74.34%
Epoch 12/150 | Train Loss: 0.7318 | Val Loss: 5.9210 | Val Acc: 74.78%
Epoch 13/150 | Train Loss: 0.7115 | Val Loss: 5.7359 | Val Acc: 75.66%
Nuevo récord: 75.66% (Guardado)
Epoch 14/150 | Train Loss: 0.7117 | Val Loss: 5.2928 | Val Acc: 77.43%
Nuevo récord: 77.43% (Guardado)
Epoch 15/150 | Train Loss: 0.7052 | Val Loss: 5.2986 | Val Acc: 76.11%
Epoch 16/150 | Train Loss: 0.6156 | Val Loss: 4.3524 | Val Acc: 82.74%
Nuevo récord: 82.74% (Guardado)
Epoch 17/150 | Train Loss: 0.5727 | Val Loss: 4.9406 | Val Acc: 80.97%
Epoch 18/150 | Train Loss: 0.5570 | Val Loss: 4.7344 | Val Acc: 80.09%
Epoch 19/150 | Train Loss: 0.5567 | Val Loss: 4.8500 | Val Acc: 77.88%
Epoch 20/150 | Train Loss: 0.5672 | Val Loss: 4.9347 | Val Acc: 78.32%
Epoch 21/150 | Train Loss: 0.5364 | Val Loss: 4.4259 | Val Acc: 80.97%
Epoch 22/150 | Train Loss: 0.4844 | Val Loss: 4.2411 | Val Acc: 79.20%
Epoch 23/150 | Train Loss: 0.4635 | Val Loss: 4.2485 | Val Acc: 82.30%
Epoch 24/150 | Train Loss: 0.4425 | Val Loss: 4.2608 | Val Acc: 80.09%
Epoch 25/150 | Train Loss: 0.4221 | Val Loss: 4.1844 | Val Acc: 80.09%
Epoch 26/150 | Train Loss: 0.4058 | Val Loss: 4.1007 | Val Acc: 82.30%
Epoch 27/150 | Train Loss: 0.4069 | Val Loss: 4.0417 | Val Acc: 81.86%
Epoch 28/150 | Train Loss: 0.4229 | Val Loss: 4.0536 | Val Acc: 80.97%
Epoch 29/150 | Train Loss: 0.4065 | Val Loss: 3.9685 | Val Acc: 80.97%
Epoch 30/150 | Train Loss: 0.4124 | Val Loss: 3.8885 | Val Acc: 82.74%
