Epoch 1/50 | Train Loss: 1.5690 | Val Loss: 1.3139 | Val Acc: 58.41%
Epoch 2/50 | Train Loss: 1.2643 | Val Loss: 1.1168 | Val Acc: 61.50%
Epoch 3/50 | Train Loss: 1.1106 | Val Loss: 1.2436 | Val Acc: 51.77%
Epoch 4/50 | Train Loss: 0.9805 | Val Loss: 0.9549 | Val Acc: 65.93%
Epoch 5/50 | Train Loss: 0.9534 | Val Loss: 0.9868 | Val Acc: 70.80%
Epoch 6/50 | Train Loss: 0.8559 | Val Loss: 0.7672 | Val Acc: 72.12%
Epoch 7/50 | Train Loss: 0.7914 | Val Loss: 0.7122 | Val Acc: 76.55%
Epoch 8/50 | Train Loss: 0.7631 | Val Loss: 0.7135 | Val Acc: 73.45%
Epoch 9/50 | Train Loss: 0.7219 | Val Loss: 0.6720 | Val Acc: 76.55%
Epoch 10/50 | Train Loss: 0.7685 | Val Loss: 0.7082 | Val Acc: 73.45%
Epoch 11/50 | Train Loss: 0.6532 | Val Loss: 0.6928 | Val Acc: 76.55%
Epoch 12/50 | Train Loss: 0.6512 | Val Loss: 1.2507 | Val Acc: 64.60%
Epoch 13/50 | Train Loss: 0.6648 | Val Loss: 0.7360 | Val Acc: 78.32%
Epoch 14/50 | Train Loss: 0.6128 | Val Loss: 0.6022 | Val Acc: 78.76%
Epoch 15/50 | Train Loss: 0.5711 | Val Loss: 0.5443 | Val Acc: 81.42%
Epoch 16/50 | Train Loss: 0.5235 | Val Loss: 0.5260 | Val Acc: 80.53%
Epoch 17/50 | Train Loss: 0.5419 | Val Loss: 0.5233 | Val Acc: 80.97%
Epoch 18/50 | Train Loss: 0.4926 | Val Loss: 0.5222 | Val Acc: 80.53%
Epoch 19/50 | Train Loss: 0.5092 | Val Loss: 0.5328 | Val Acc: 81.42%
Epoch 20/50 | Train Loss: 0.4990 | Val Loss: 0.5737 | Val Acc: 80.09%
Epoch 21/50 | Train Loss: 0.4823 | Val Loss: 0.5148 | Val Acc: 81.42%
Epoch 22/50 | Train Loss: 0.4729 | Val Loss: 0.5239 | Val Acc: 80.53%
Epoch 23/50 | Train Loss: 0.4522 | Val Loss: 0.5288 | Val Acc: 80.53%
Epoch 24/50 | Train Loss: 0.4877 | Val Loss: 0.5143 | Val Acc: 80.53%
Epoch 25/50 | Train Loss: 0.4462 | Val Loss: 0.5087 | Val Acc: 81.42%
Epoch 26/50 | Train Loss: 0.4337 | Val Loss: 0.5183 | Val Acc: 80.97%
Epoch 27/50 | Train Loss: 0.4656 | Val Loss: 0.5132 | Val Acc: 80.97%
Epoch 28/50 | Train Loss: 0.3980 | Val Loss: 0.5172 | Val Acc: 81.42%
Epoch 29/50 | Train Loss: 0.4600 | Val Loss: 0.5626 | Val Acc: 81.86%
Epoch 30/50 | Train Loss: 0.4359 | Val Loss: 0.5089 | Val Acc: 81.42%
Epoch 31/50 | Train Loss: 0.4039 | Val Loss: 0.5136 | Val Acc: 82.30%
Epoch 32/50 | Train Loss: 0.4583 | Val Loss: 0.4910 | Val Acc: 82.30%
Epoch 33/50 | Train Loss: 0.4145 | Val Loss: 0.5016 | Val Acc: 80.97%
Epoch 34/50 | Train Loss: 0.4122 | Val Loss: 0.5047 | Val Acc: 81.42%
Epoch 35/50 | Train Loss: 0.4109 | Val Loss: 0.5104 | Val Acc: 80.09%
Epoch 36/50 | Train Loss: 0.4459 | Val Loss: 0.4922 | Val Acc: 81.42%
Epoch 37/50 | Train Loss: 0.4126 | Val Loss: 0.4890 | Val Acc: 80.97%
Epoch 38/50 | Train Loss: 0.3910 | Val Loss: 0.5025 | Val Acc: 80.53%
Epoch 39/50 | Train Loss: 0.4111 | Val Loss: 0.4897 | Val Acc: 81.42%
Epoch 40/50 | Train Loss: 0.4141 | Val Loss: 0.4985 | Val Acc: 80.97%
Epoch 41/50 | Train Loss: 0.4063 | Val Loss: 0.4991 | Val Acc: 80.53%
Epoch 42/50 | Train Loss: 0.3988 | Val Loss: 0.4910 | Val Acc: 80.97%
Epoch 43/50 | Train Loss: 0.4421 | Val Loss: 0.5002 | Val Acc: 81.86%
Epoch 44/50 | Train Loss: 0.3984 | Val Loss: 0.4985 | Val Acc: 81.86%
Epoch 45/50 | Train Loss: 0.4403 | Val Loss: 0.5137 | Val Acc: 81.86%
Epoch 46/50 | Train Loss: 0.4170 | Val Loss: 0.4939 | Val Acc: 80.97%
Epoch 47/50 | Train Loss: 0.4508 | Val Loss: 0.4881 | Val Acc: 80.97%
Epoch 48/50 | Train Loss: 0.4070 | Val Loss: 0.4949 | Val Acc: 80.53%
Epoch 49/50 | Train Loss: 0.3818 | Val Loss: 0.4993 | Val Acc: 81.42%
Epoch 50/50 | Train Loss: 0.4395 | Val Loss: 0.5255 | Val Acc: 80.97%
--> Fin 1_Base. Mejor Accuracy: 82.30%
[34m[1mwandb[0m: [32m[41mERROR[0m The nbformat package was not found. It is required to save notebook history.
