Epoch 1/50 | Train Loss: 1.5253 | Val Loss: 1.8284 | Val Acc: 51.77%
Epoch 2/50 | Train Loss: 1.2563 | Val Loss: 1.6424 | Val Acc: 46.90%
Epoch 3/50 | Train Loss: 1.1638 | Val Loss: 1.0990 | Val Acc: 62.83%
Epoch 4/50 | Train Loss: 1.1649 | Val Loss: 1.0987 | Val Acc: 62.83%
Epoch 5/50 | Train Loss: 1.1016 | Val Loss: 1.0493 | Val Acc: 63.27%
Epoch 6/50 | Train Loss: 1.0292 | Val Loss: 1.0345 | Val Acc: 62.39%
Epoch 7/50 | Train Loss: 0.9766 | Val Loss: 1.1768 | Val Acc: 65.04%
Epoch 8/50 | Train Loss: 0.9576 | Val Loss: 0.9487 | Val Acc: 65.49%
Epoch 9/50 | Train Loss: 0.9483 | Val Loss: 0.9365 | Val Acc: 67.26%
Epoch 10/50 | Train Loss: 0.9152 | Val Loss: 1.0516 | Val Acc: 69.47%
Epoch 11/50 | Train Loss: 0.9031 | Val Loss: 0.8235 | Val Acc: 73.01%
Epoch 12/50 | Train Loss: 0.8634 | Val Loss: 0.8939 | Val Acc: 69.91%
Epoch 13/50 | Train Loss: 0.8358 | Val Loss: 0.8260 | Val Acc: 73.01%
Epoch 14/50 | Train Loss: 0.7909 | Val Loss: 0.8715 | Val Acc: 69.47%
Epoch 15/50 | Train Loss: 0.8024 | Val Loss: 1.0065 | Val Acc: 73.45%
Epoch 16/50 | Train Loss: 0.7072 | Val Loss: 0.7953 | Val Acc: 73.89%
Epoch 17/50 | Train Loss: 0.7227 | Val Loss: 0.7911 | Val Acc: 72.12%
Epoch 18/50 | Train Loss: 0.6869 | Val Loss: 0.8025 | Val Acc: 75.22%
Epoch 19/50 | Train Loss: 0.7211 | Val Loss: 0.7805 | Val Acc: 73.89%
Epoch 20/50 | Train Loss: 0.7259 | Val Loss: 0.7896 | Val Acc: 76.55%
Epoch 21/50 | Train Loss: 0.6791 | Val Loss: 0.7403 | Val Acc: 76.11%
Epoch 22/50 | Train Loss: 0.6978 | Val Loss: 0.7539 | Val Acc: 77.88%
Epoch 23/50 | Train Loss: 0.6256 | Val Loss: 0.7633 | Val Acc: 77.43%
Epoch 24/50 | Train Loss: 0.6180 | Val Loss: 0.7339 | Val Acc: 77.88%
Epoch 25/50 | Train Loss: 0.6643 | Val Loss: 0.7288 | Val Acc: 77.43%
Epoch 26/50 | Train Loss: 0.6469 | Val Loss: 0.6765 | Val Acc: 79.20%
Epoch 27/50 | Train Loss: 0.6543 | Val Loss: 0.6987 | Val Acc: 76.55%
Epoch 28/50 | Train Loss: 0.5858 | Val Loss: 0.8029 | Val Acc: 78.32%
Epoch 29/50 | Train Loss: 0.6419 | Val Loss: 0.7135 | Val Acc: 78.32%
Epoch 30/50 | Train Loss: 0.6585 | Val Loss: 0.6863 | Val Acc: 79.20%
Epoch 31/50 | Train Loss: 0.5741 | Val Loss: 0.6906 | Val Acc: 79.65%
Epoch 32/50 | Train Loss: 0.6033 | Val Loss: 0.6935 | Val Acc: 79.20%
Epoch 33/50 | Train Loss: 0.5767 | Val Loss: 0.6845 | Val Acc: 78.32%
Epoch 34/50 | Train Loss: 0.5871 | Val Loss: 0.6801 | Val Acc: 78.76%
Epoch 35/50 | Train Loss: 0.5586 | Val Loss: 0.6754 | Val Acc: 78.76%
Epoch 36/50 | Train Loss: 0.5493 | Val Loss: 0.6880 | Val Acc: 79.20%
Epoch 37/50 | Train Loss: 0.5766 | Val Loss: 0.6885 | Val Acc: 79.20%
Epoch 38/50 | Train Loss: 0.6317 | Val Loss: 0.6738 | Val Acc: 79.20%
Epoch 39/50 | Train Loss: 0.5670 | Val Loss: 0.6752 | Val Acc: 79.20%
Epoch 40/50 | Train Loss: 0.6042 | Val Loss: 0.6789 | Val Acc: 79.20%
Epoch 41/50 | Train Loss: 0.5663 | Val Loss: 0.7002 | Val Acc: 78.32%
Epoch 42/50 | Train Loss: 0.5740 | Val Loss: 0.6854 | Val Acc: 79.20%
Epoch 43/50 | Train Loss: 0.5736 | Val Loss: 0.6867 | Val Acc: 78.76%
Epoch 44/50 | Train Loss: 0.5536 | Val Loss: 0.6788 | Val Acc: 77.88%
Epoch 45/50 | Train Loss: 0.6239 | Val Loss: 0.6807 | Val Acc: 79.20%
Epoch 46/50 | Train Loss: 0.5655 | Val Loss: 0.6786 | Val Acc: 78.76%
Epoch 47/50 | Train Loss: 0.6063 | Val Loss: 0.6902 | Val Acc: 78.32%
Epoch 48/50 | Train Loss: 0.6056 | Val Loss: 0.6800 | Val Acc: 78.32%
Epoch 49/50 | Train Loss: 0.5646 | Val Loss: 0.6784 | Val Acc: 79.65%
Epoch 50/50 | Train Loss: 0.6202 | Val Loss: 0.6856 | Val Acc: 78.76%
--> Fin 2_HighLR. Mejor Accuracy: 79.65%
[34m[1mwandb[0m: [32m[41mERROR[0m The nbformat package was not found. It is required to save notebook history.
