Epoch 1/50 | Train Loss: 1.7225 | Val Loss: 1.6776 | Val Acc: 47.35%
Epoch 2/50 | Train Loss: 1.5804 | Val Loss: 1.5228 | Val Acc: 64.60%
Epoch 3/50 | Train Loss: 1.4864 | Val Loss: 1.4371 | Val Acc: 68.58%
Epoch 4/50 | Train Loss: 1.4047 | Val Loss: 1.3492 | Val Acc: 66.81%
Epoch 5/50 | Train Loss: 1.3173 | Val Loss: 1.2881 | Val Acc: 68.58%
Epoch 6/50 | Train Loss: 1.2372 | Val Loss: 1.2163 | Val Acc: 69.03%
Epoch 7/50 | Train Loss: 1.1657 | Val Loss: 1.1039 | Val Acc: 70.80%
Epoch 8/50 | Train Loss: 1.0793 | Val Loss: 0.9989 | Val Acc: 73.89%
Epoch 9/50 | Train Loss: 1.0205 | Val Loss: 0.9893 | Val Acc: 74.78%
Epoch 10/50 | Train Loss: 0.9656 | Val Loss: 0.9987 | Val Acc: 73.45%
Epoch 11/50 | Train Loss: 0.9158 | Val Loss: 0.8273 | Val Acc: 76.11%
Epoch 12/50 | Train Loss: 0.8596 | Val Loss: 0.8159 | Val Acc: 76.99%
Epoch 13/50 | Train Loss: 0.8381 | Val Loss: 0.7608 | Val Acc: 77.43%
Epoch 14/50 | Train Loss: 0.7663 | Val Loss: 0.7058 | Val Acc: 77.88%
Epoch 15/50 | Train Loss: 0.7401 | Val Loss: 0.7296 | Val Acc: 77.88%
Epoch 16/50 | Train Loss: 0.6601 | Val Loss: 0.6375 | Val Acc: 80.09%
Epoch 17/50 | Train Loss: 0.6885 | Val Loss: 0.6591 | Val Acc: 78.76%
Epoch 18/50 | Train Loss: 0.6431 | Val Loss: 0.5978 | Val Acc: 79.20%
Epoch 19/50 | Train Loss: 0.6386 | Val Loss: 0.6315 | Val Acc: 80.09%
Epoch 20/50 | Train Loss: 0.5897 | Val Loss: 0.5702 | Val Acc: 81.42%
Epoch 21/50 | Train Loss: 0.5592 | Val Loss: 0.6699 | Val Acc: 79.20%
Epoch 22/50 | Train Loss: 0.5601 | Val Loss: 0.7195 | Val Acc: 78.32%
Epoch 23/50 | Train Loss: 0.5081 | Val Loss: 0.5371 | Val Acc: 82.74%
Epoch 24/50 | Train Loss: 0.5480 | Val Loss: 0.5459 | Val Acc: 79.65%
Epoch 25/50 | Train Loss: 0.4777 | Val Loss: 0.5913 | Val Acc: 80.09%
Epoch 26/50 | Train Loss: 0.4685 | Val Loss: 0.5000 | Val Acc: 80.97%
Epoch 27/50 | Train Loss: 0.4846 | Val Loss: 0.5395 | Val Acc: 80.97%
Epoch 28/50 | Train Loss: 0.5126 | Val Loss: 0.5356 | Val Acc: 80.53%
Epoch 29/50 | Train Loss: 0.4340 | Val Loss: 0.5682 | Val Acc: 81.42%
Epoch 30/50 | Train Loss: 0.4497 | Val Loss: 0.5754 | Val Acc: 82.74%
Epoch 31/50 | Train Loss: 0.3999 | Val Loss: 0.5074 | Val Acc: 81.42%
Epoch 32/50 | Train Loss: 0.3808 | Val Loss: 0.4829 | Val Acc: 81.86%
Epoch 33/50 | Train Loss: 0.3678 | Val Loss: 0.4727 | Val Acc: 82.30%
Epoch 34/50 | Train Loss: 0.3771 | Val Loss: 0.4846 | Val Acc: 84.51%
Epoch 35/50 | Train Loss: 0.3392 | Val Loss: 0.4590 | Val Acc: 82.74%
Epoch 36/50 | Train Loss: 0.3602 | Val Loss: 0.4849 | Val Acc: 84.96%
Epoch 37/50 | Train Loss: 0.3680 | Val Loss: 0.4638 | Val Acc: 83.63%
Epoch 38/50 | Train Loss: 0.3391 | Val Loss: 0.4889 | Val Acc: 83.63%
Epoch 39/50 | Train Loss: 0.3971 | Val Loss: 0.4682 | Val Acc: 83.19%
Epoch 40/50 | Train Loss: 0.3730 | Val Loss: 0.4821 | Val Acc: 82.74%
Epoch 41/50 | Train Loss: 0.2972 | Val Loss: 0.4728 | Val Acc: 84.96%
Epoch 42/50 | Train Loss: 0.3073 | Val Loss: 0.4785 | Val Acc: 83.63%
Epoch 43/50 | Train Loss: 0.3218 | Val Loss: 0.4812 | Val Acc: 84.07%
Epoch 44/50 | Train Loss: 0.3148 | Val Loss: 0.4773 | Val Acc: 83.19%
Epoch 45/50 | Train Loss: 0.3234 | Val Loss: 0.4741 | Val Acc: 84.07%
Epoch 46/50 | Train Loss: 0.3635 | Val Loss: 0.4667 | Val Acc: 83.19%
Epoch 47/50 | Train Loss: 0.3306 | Val Loss: 0.4842 | Val Acc: 82.74%
Epoch 48/50 | Train Loss: 0.3497 | Val Loss: 0.4627 | Val Acc: 83.63%
Epoch 49/50 | Train Loss: 0.3220 | Val Loss: 0.4913 | Val Acc: 84.51%
Epoch 50/50 | Train Loss: 0.3564 | Val Loss: 0.4672 | Val Acc: 84.51%
--> Fin 3_LowLR. Mejor Accuracy: 84.96%
[34m[1mwandb[0m: [32m[41mERROR[0m The nbformat package was not found. It is required to save notebook history.
