Epoch 1/50 | Train Loss: 1.7398 | Val Loss: 1.5838 | Val Acc: 49.12%
Epoch 2/50 | Train Loss: 1.4974 | Val Loss: 1.3533 | Val Acc: 56.64%
Epoch 3/50 | Train Loss: 1.3481 | Val Loss: 1.2069 | Val Acc: 54.87%
Epoch 4/50 | Train Loss: 1.2293 | Val Loss: 1.1107 | Val Acc: 62.83%
Epoch 5/50 | Train Loss: 1.1837 | Val Loss: 1.1445 | Val Acc: 63.27%
Epoch 6/50 | Train Loss: 1.1163 | Val Loss: 1.1428 | Val Acc: 62.39%
Epoch 7/50 | Train Loss: 1.1150 | Val Loss: 1.1024 | Val Acc: 57.96%
Epoch 8/50 | Train Loss: 1.0757 | Val Loss: 1.1098 | Val Acc: 65.04%
Epoch 9/50 | Train Loss: 1.0710 | Val Loss: 1.0493 | Val Acc: 63.27%
Epoch 10/50 | Train Loss: 1.0054 | Val Loss: 0.9431 | Val Acc: 69.03%
Epoch 11/50 | Train Loss: 0.9419 | Val Loss: 1.0696 | Val Acc: 69.03%
Epoch 12/50 | Train Loss: 0.9312 | Val Loss: 0.9170 | Val Acc: 69.91%
Epoch 13/50 | Train Loss: 0.8631 | Val Loss: 0.8518 | Val Acc: 69.91%
Epoch 14/50 | Train Loss: 0.8868 | Val Loss: 0.9113 | Val Acc: 69.03%
Epoch 15/50 | Train Loss: 0.8398 | Val Loss: 0.7793 | Val Acc: 71.24%
Epoch 16/50 | Train Loss: 0.8518 | Val Loss: 1.0399 | Val Acc: 69.03%
Epoch 17/50 | Train Loss: 0.8252 | Val Loss: 0.7192 | Val Acc: 75.22%
Epoch 18/50 | Train Loss: 0.8236 | Val Loss: 0.8751 | Val Acc: 70.35%
Epoch 19/50 | Train Loss: 0.8091 | Val Loss: 0.8414 | Val Acc: 75.66%
Epoch 20/50 | Train Loss: 0.8491 | Val Loss: 0.7710 | Val Acc: 73.89%
Epoch 21/50 | Train Loss: 0.7403 | Val Loss: 0.7034 | Val Acc: 72.12%
Epoch 22/50 | Train Loss: 0.7583 | Val Loss: 0.7080 | Val Acc: 76.55%
Epoch 23/50 | Train Loss: 0.7194 | Val Loss: 0.7517 | Val Acc: 76.11%
Epoch 24/50 | Train Loss: 0.7363 | Val Loss: 0.7031 | Val Acc: 77.43%
Epoch 25/50 | Train Loss: 0.6943 | Val Loss: 0.6249 | Val Acc: 78.32%
Epoch 26/50 | Train Loss: 0.7615 | Val Loss: 0.6688 | Val Acc: 76.55%
Epoch 27/50 | Train Loss: 0.6689 | Val Loss: 0.5999 | Val Acc: 76.55%
Epoch 28/50 | Train Loss: 0.6825 | Val Loss: 0.6210 | Val Acc: 77.43%
Epoch 29/50 | Train Loss: 0.6457 | Val Loss: 0.6568 | Val Acc: 79.20%
Epoch 30/50 | Train Loss: 0.6251 | Val Loss: 0.6679 | Val Acc: 77.43%
Epoch 31/50 | Train Loss: 0.5620 | Val Loss: 0.5475 | Val Acc: 80.09%
Epoch 32/50 | Train Loss: 0.6104 | Val Loss: 0.5541 | Val Acc: 80.97%
Epoch 33/50 | Train Loss: 0.6373 | Val Loss: 0.5920 | Val Acc: 78.32%
Epoch 34/50 | Train Loss: 0.6445 | Val Loss: 0.6191 | Val Acc: 78.32%
Epoch 35/50 | Train Loss: 0.6058 | Val Loss: 0.5889 | Val Acc: 80.09%
Epoch 36/50 | Train Loss: 0.6547 | Val Loss: 0.5868 | Val Acc: 79.20%
Epoch 37/50 | Train Loss: 0.5460 | Val Loss: 0.5661 | Val Acc: 79.20%
Epoch 38/50 | Train Loss: 0.5298 | Val Loss: 0.5605 | Val Acc: 79.20%
Epoch 39/50 | Train Loss: 0.5724 | Val Loss: 0.5523 | Val Acc: 79.65%
Epoch 40/50 | Train Loss: 0.5059 | Val Loss: 0.5529 | Val Acc: 80.09%
Epoch 41/50 | Train Loss: 0.5038 | Val Loss: 0.5521 | Val Acc: 80.09%
Epoch 42/50 | Train Loss: 0.5233 | Val Loss: 0.5529 | Val Acc: 80.09%
Epoch 43/50 | Train Loss: 0.4718 | Val Loss: 0.5472 | Val Acc: 80.09%
Epoch 44/50 | Train Loss: 0.5409 | Val Loss: 0.5554 | Val Acc: 79.20%
Epoch 45/50 | Train Loss: 0.4661 | Val Loss: 0.5753 | Val Acc: 80.09%
Epoch 46/50 | Train Loss: 0.5199 | Val Loss: 0.5599 | Val Acc: 79.20%
Epoch 47/50 | Train Loss: 0.5192 | Val Loss: 0.5486 | Val Acc: 80.09%
Epoch 48/50 | Train Loss: 0.5155 | Val Loss: 0.5576 | Val Acc: 80.09%
Epoch 49/50 | Train Loss: 0.5237 | Val Loss: 0.5661 | Val Acc: 80.53%
Epoch 50/50 | Train Loss: 0.4500 | Val Loss: 0.5454 | Val Acc: 80.09%
--> Fin 4_HighDrop. Mejor Accuracy: 80.97%
[34m[1mwandb[0m: [32m[41mERROR[0m The nbformat package was not found. It is required to save notebook history.
