Epoch 1/50 | Train Loss: 1.5647 | Val Loss: 1.3432 | Val Acc: 59.29%
Epoch 2/50 | Train Loss: 1.2159 | Val Loss: 1.3948 | Val Acc: 53.10%
Epoch 3/50 | Train Loss: 1.0365 | Val Loss: 0.9967 | Val Acc: 65.93%
Epoch 4/50 | Train Loss: 0.9237 | Val Loss: 0.9260 | Val Acc: 65.49%
Epoch 5/50 | Train Loss: 0.8650 | Val Loss: 0.8489 | Val Acc: 71.68%
Epoch 6/50 | Train Loss: 0.8312 | Val Loss: 0.9325 | Val Acc: 70.35%
Epoch 7/50 | Train Loss: 0.7835 | Val Loss: 0.8397 | Val Acc: 73.89%
Epoch 8/50 | Train Loss: 0.7377 | Val Loss: 1.0530 | Val Acc: 64.16%
Epoch 9/50 | Train Loss: 0.7080 | Val Loss: 0.7941 | Val Acc: 75.22%
Epoch 10/50 | Train Loss: 0.7368 | Val Loss: 0.7797 | Val Acc: 76.99%
Epoch 11/50 | Train Loss: 0.6905 | Val Loss: 0.7003 | Val Acc: 79.65%
Epoch 12/50 | Train Loss: 0.6900 | Val Loss: 0.8544 | Val Acc: 75.66%
Epoch 13/50 | Train Loss: 0.5928 | Val Loss: 0.6327 | Val Acc: 75.22%
Epoch 14/50 | Train Loss: 0.5869 | Val Loss: 0.6091 | Val Acc: 79.65%
Epoch 15/50 | Train Loss: 0.6209 | Val Loss: 0.6316 | Val Acc: 75.66%
Epoch 16/50 | Train Loss: 0.5415 | Val Loss: 0.5436 | Val Acc: 80.09%
Epoch 17/50 | Train Loss: 0.5757 | Val Loss: 0.6469 | Val Acc: 81.86%
Epoch 18/50 | Train Loss: 0.5855 | Val Loss: 0.5566 | Val Acc: 82.30%
Epoch 19/50 | Train Loss: 0.5261 | Val Loss: 0.5829 | Val Acc: 80.09%
Epoch 20/50 | Train Loss: 0.4060 | Val Loss: 0.5730 | Val Acc: 80.53%
Epoch 21/50 | Train Loss: 0.3871 | Val Loss: 0.5215 | Val Acc: 83.19%
Epoch 22/50 | Train Loss: 0.3813 | Val Loss: 0.4886 | Val Acc: 82.74%
Epoch 23/50 | Train Loss: 0.3560 | Val Loss: 0.4968 | Val Acc: 83.19%
Epoch 24/50 | Train Loss: 0.3760 | Val Loss: 0.4653 | Val Acc: 83.19%
Epoch 25/50 | Train Loss: 0.3347 | Val Loss: 0.4645 | Val Acc: 83.63%
Epoch 26/50 | Train Loss: 0.3524 | Val Loss: 0.4600 | Val Acc: 84.51%
Epoch 27/50 | Train Loss: 0.3374 | Val Loss: 0.4665 | Val Acc: 83.63%
Epoch 28/50 | Train Loss: 0.3335 | Val Loss: 0.4738 | Val Acc: 84.51%
Epoch 29/50 | Train Loss: 0.3427 | Val Loss: 0.4633 | Val Acc: 84.51%
Epoch 30/50 | Train Loss: 0.3468 | Val Loss: 0.4615 | Val Acc: 85.40%
Epoch 31/50 | Train Loss: 0.2984 | Val Loss: 0.4535 | Val Acc: 85.40%
Epoch 32/50 | Train Loss: 0.2885 | Val Loss: 0.4630 | Val Acc: 84.96%
Epoch 33/50 | Train Loss: 0.2901 | Val Loss: 0.4701 | Val Acc: 85.40%
Epoch 34/50 | Train Loss: 0.3460 | Val Loss: 0.4518 | Val Acc: 84.96%
Epoch 35/50 | Train Loss: 0.3481 | Val Loss: 0.4646 | Val Acc: 83.19%
Epoch 36/50 | Train Loss: 0.3297 | Val Loss: 0.4563 | Val Acc: 84.07%
Epoch 37/50 | Train Loss: 0.2993 | Val Loss: 0.4490 | Val Acc: 84.96%
Epoch 38/50 | Train Loss: 0.2502 | Val Loss: 0.4546 | Val Acc: 84.51%
Epoch 39/50 | Train Loss: 0.3163 | Val Loss: 0.4495 | Val Acc: 84.96%
Epoch 40/50 | Train Loss: 0.2870 | Val Loss: 0.4530 | Val Acc: 85.40%
Epoch 41/50 | Train Loss: 0.2625 | Val Loss: 0.4479 | Val Acc: 85.84%
Epoch 42/50 | Train Loss: 0.2836 | Val Loss: 0.4632 | Val Acc: 84.51%
Epoch 43/50 | Train Loss: 0.3072 | Val Loss: 0.4571 | Val Acc: 84.07%
Epoch 44/50 | Train Loss: 0.2506 | Val Loss: 0.4654 | Val Acc: 84.51%
Epoch 45/50 | Train Loss: 0.3029 | Val Loss: 0.4536 | Val Acc: 84.51%
Epoch 46/50 | Train Loss: 0.2963 | Val Loss: 0.4547 | Val Acc: 84.51%
Epoch 47/50 | Train Loss: 0.2769 | Val Loss: 0.4579 | Val Acc: 83.63%
Epoch 48/50 | Train Loss: 0.2921 | Val Loss: 0.4475 | Val Acc: 84.96%
Epoch 49/50 | Train Loss: 0.2972 | Val Loss: 0.4480 | Val Acc: 84.96%
Epoch 50/50 | Train Loss: 0.2955 | Val Loss: 0.4469 | Val Acc: 84.96%
--> Fin 5_BigDense. Mejor Accuracy: 85.84%
[34m[1mwandb[0m: [32m[41mERROR[0m The nbformat package was not found. It is required to save notebook history.
